,Sample_3266.CB.1,Sample_3266.CB.10,Sample_3266.CB.102,Sample_3266.CB.103,Sample_3266.CB.104,Sample_3266.CB.106,Sample_3266.CB.107,Sample_3266.CB.108,Sample_3266.CB.109,Sample_3266.CB.110,Sample_3266.CB.12,Sample_3266.CB.146,Sample_3266.CB.15,Sample_3266.CB.18,Sample_3266.CB.180,Sample_3266.CB.182,Sample_3266.CB.183,Sample_3266.CB.189,Sample_3266.CB.19,Sample_3266.CB.20,Sample_3266.CB.206,Sample_3266.CB.207
TSPAN6,-0.881087874,-0.006181378,-2.29388177,-0.215143332,-0.740703556,0.99827505,0.053724388,0.58309718,0.185613008,-0.394376015,-1.174733045,-0.831151206,0.461860529,0.641881423,0.587318879,-0.025156663,-0.35079426,0.102232559,0.254353943,-0.424447306,-3.050019312,-0.075612265
TNMD,-3.768613145,-1.391835071,-3.516274191,-4.122033927,-4.58200581,-1.896838378,-2.784994705,0.999722677,-1.844975312,-2.71630411,-2.759695546,-2.075076789,-3.606619209,-0.109091029,-2.872112739,-3.422749028,-3.324799051,-1.657816648,-6.800928493,-3.483340995,-2.156934516,-0.606126982
DPM1,-0.664276485,-1.488050386,-2.779308597,-1.619533587,-2.260077715,-0.654477541,-0.870724579,1.170176622,-1.616706324,-1.652173773,-1.479587627,-1.5681168,-0.71045502,-0.28342121,-2.365152751,-1.508478902,-0.15487405,-1.326610739,-1.671645476,-1.699069686,-1.333812278,-0.265090064
SCYL3,-2.003078398,-2.098103868,0.184165527,-0.752800117,-2.997043309,-0.015985644,-2.093117001,-1.221083494,-1.246337874,-1.046452712,0.73673028,-0.896739547,-0.50975767,-1.029237722,-3.660608634,-2.875261233,-1.488297784,0.017343662,-3.993573571,-1.523982979,-0.12945378,-0.265090064
C1orf112,-3.768613145,-2.886599762,-2.29388177,-2.247564809,-4.58200581,-3.166927542,-6.485434423,-7.243451307,-3.273818611,-6.175735729,-2.397125466,-4.738041801,-6.776544211,-4.72967744,-4.798112158,-7.123188746,2.904019639,-2.524550117,-6.800928493,-4.331337901,-2.687449233,-2.638548459
FGR,-2.003078398,-1.136578015,0.108216674,0.125893586,-1.643406354,-2.300194073,-3.026002805,-3.543011589,-2.886795488,-6.175735729,-0.812162966,-1.193721285,1.703236053,-2.964142693,-3.950115251,-2.078794627,-3.810225879,-4.290084863,-2.713465651,-1.523982979,-1.465056812,0.820883159
CFH,6.251255533,2.242683255,1.887447995,7.306151744,2.88559974,6.670885876,1.508919013,2.979343596,1.606942253,1.807257846,5.623391551,6.209108069,3.227676256,2.952614932,7.693390241,7.603189089,8.240507071,8.856897406,2.449369925,2.812300409,6.839376002,3.002682261
FUCA2,-1.698223817,-0.731321537,-1.194346096,-2.899641506,-1.774650888,-2.499502881,3.120045095,-1.885899302,-2.116277334,-1.652173773,-3.245122373,-1.930686879,-2.689081369,-1.69405353,-2.165843942,-2.168992436,-1.274172978,-0.104218318,-1.846732182,-1.795285001,-3.535446139,-1.454123888
GCLC,-2.920616238,-6.346031381,-2.29388177,-4.122033927,-3.845040216,-4.932462288,-4.163506329,-7.243451307,-4.166903407,-4.590773228,-2.759695546,-4.001076207,-6.776544211,-7.051605535,-7.120040253,-7.123188746,-3.324799051,-4.290084863,-6.800928493,-3.483340995,-3.050019312,-2.638548459
NFYA,-0.805139021,-0.919766626,2.282467601,0.668043003,-0.809416306,-7.254390383,-2.23750691,-2.995523793,-2.450696373,-1.783418306,-0.437767451,-2.075076789,-3.606619209,-2.964142693,-4.312685331,-2.479332557,0.497202647,-1.754031963,-3.341496874,-1.699069686,-1.609446721,0.867804207
