Sample,host,integration
Sample_3266.CB.1,0,Type0
Sample_3266.CB.10,0,Type0
Sample_3266.CB.102,1,Type2
Sample_3266.CB.103,1,Type2
Sample_3266.CB.104,0,Type2
Sample_3266.CB.106,0,Type0
Sample_3266.CB.107,1,Type0
Sample_3266.CB.108,0,Type0
Sample_3266.CB.109,0,Type0
Sample_3266.CB.110,0,Type1
Sample_3266.CB.12,0,Type1
Sample_3266.CB.146,1,Type1
Sample_3266.CB.15,0,Type0
Sample_3266.CB.18,0,Type0
Sample_3266.CB.180,0,Type0
Sample_3266.CB.182,1,Type2
Sample_3266.CB.183,1,Type2
Sample_3266.CB.189,0,Type0
Sample_3266.CB.19,1,Type1
Sample_3266.CB.20,1,Type2
Sample_3266.CB.206,0,Type0
Sample_3266.CB.207,0,Type0
